main_category_english,total_books,mean_price_grosia,median_price_grosia,min_price_grosia,max_price_grosia
Syntax Books,16,4.375,4.25,1.0,10.0
Geography,33,4.015151515151516,3.5,1.0,8.5
5. Ecclesiastical History,6,4.0,4.5,2.0,5.0
History,26,3.9423076923076925,4.125,0.75,8.0
Turkish,51,3.877450980392157,3.0,0.25,15.0
Drawing,8,3.6875,2.25,0.5,8.5
5. Mathematics,39,3.6153846153846154,3.5,0.5,10.0
B' Anthropology,13,3.5961538461538463,2.5,0.5,10.0
Religious Books,63,3.5714285714285716,1.0,0.25,20.0
Arithmetic,28,3.5535714285714284,2.75,0.5,10.0
"Kindergartens, Primary Schools, Urban Schools and Girls' High Schools",241,3.25,2.5,0.25,80.0
Religion,142,2.6390845070422535,2.0,0.25,10.0
Other Printed Materials for General School Use,8,2.4375,2.25,0.5,5.0
Publications of Useful Books,5,2.0,2.0,2.0,2.0
Calligraphy,17,1.8529411764705883,2.0,0.5,5.0
2. Greek Language,5,0.5,0.5,0.25,1.0
